First_Author,Year,PubMedID,Disease,Region,Subregion,Author_Region,Region_Code,FACS_Sorted,Unbiased_Sampling,Platform,Author_No.Nuclei,Author_No.Cell_Types,Author_Median_UMIs_PC,Author_Median_Unique_Genes_PC,Plot_Label,Directory,Author_Counts,Author_Barcodes,Author_Genes,Author_Barcode_Annotations,Dataset,Study,Filter_Size,Mean_PMI,Author_Genes_Mapped,Author_Counts_QC,Author_Barcodes_QC,Author_Counts_QC_PC_Genes,Author_Normalized_Counts_QC_Intersection_PC_Genes,Author_Mean_Normalized_Counts_QC_Intersection_PC_Genes,Author_Barcode_Annotations_Class
Agarwal,2020,32826893,Normal,Cortex,Frontal cortex,Middle frontal gyrus,FC,Y,Y,10x Chromium V2,10652,23,4987,2772,Agarwal FC MFG,/home/shared/scsn.expr_data/human_expr/postnatal/agarwal_2020/,/home/shared/scsn.expr_data/human_expr/postnatal/agarwal_2020/cortex/matrix_cortex_annotated.mtx,/home/shared/scsn.expr_data/human_expr/postnatal/agarwal_2020/cortex/barcodes_cortex_annotated.tsv,/home/shared/scsn.expr_data/human_expr/postnatal/agarwal_2020/cortex/genes_cortex.tsv,/home/shared/scsn.expr_data/human_expr/postnatal/agarwal_2020/cortex/author_barcode_annotations_cortex.csv,Agarwal_2020_10x_Chromium_V2_Middle_frontal_gyrus,Agarwal 2020,35,34.7,/home/rebecca/SCSN_meta_analysis/prelim_new/4_map_identifiers/data/Agarwal_2020_10x_Chromium_V2_Middle_frontal_gyrus_genes_mapped.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/5_QC/data/author_data/Agarwal_2020_10x_Chromium_V2_Middle_frontal_gyrus_expression_QC_counts_>.05%tile_genes_expressed_&_<=5%_mito_reads.mtx,/home/rebecca/SCSN_meta_analysis/prelim_new/5_QC/data/author_data/Agarwal_2020_10x_Chromium_V2_Middle_frontal_gyrus_barcodes_QC_counts_>.05%tile_genes_expressed_&_<=5%_mito_reads.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/7_max_expr/data/author_data/QC_counts/Agarwal_2020_10x_Chromium_V2_Middle_frontal_gyrus_expression_author_data_QC_counts_10652_nuclei_16662_protein_coding_genes.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/9_normalize/data/author_data/QC_counts/Agarwal_2020_10x_Chromium_V2_Middle_frontal_gyrus_expression_author_data_QC_counts_10652_nuclei_8596_intersection_genes_lib_norm_log2.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/11_dataset_mean_expr/data/author_data/normalized_counts/Agarwal_2020_10x_Chromium_V2_Middle_frontal_gyrus_expression_author_data_normalized_counts_10652_nuclei_8596_intersection_genes_lib_norm_log2_mean_expr.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/12_cell_class_annotations/data/author_data/Agarwal_2020_10x_Chromium_V2_Middle_frontal_gyrus_barcode_annotations_cell_class_annotated.csv
ABI,2019,,Normal,Cortex,Anterior cingulate cortex,Anterior cingulate cortex,FC,Y,N,SMART-Seq v4,5909,103,982191,6361,ABI FC ACC,/home/shared/scsn.expr_data/human_expr/postnatal/ABI_2019_cortical_regions/,/home/shared/scsn.expr_data/human_expr/postnatal/ABI_2019_cortical_regions/ACC/expression_ACC.csv,/home/shared/scsn.expr_data/human_expr/postnatal/ABI_2019_cortical_regions/ACC/barcodes_ACC.tsv,/home/shared/scsn.expr_data/human_expr/postnatal/ABI_2019_cortical_regions/ACC/genes_ACC.tsv,/home/shared/scsn.expr_data/human_expr/postnatal/ABI_2019_cortical_regions/ACC/author_barcode_annotations_ACC.csv,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex,ABI 2019,,22.7,/home/rebecca/SCSN_meta_analysis/prelim_new/4_map_identifiers/data/ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex_genes_mapped.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/5_QC/data/author_data/ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex_expression_QC_counts_>.05%tile_genes_expressed_&_<=5%_mito_reads.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/5_QC/data/author_data/ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex_barcodes_QC_counts_>.05%tile_genes_expressed_&_<=5%_mito_reads.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/7_max_expr/data/author_data/QC_counts/ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex_expression_author_data_QC_counts_5909_nuclei_17936_protein_coding_genes.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/9_normalize/data/author_data/QC_counts/ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex_expression_author_data_QC_counts_5909_nuclei_8596_intersection_genes_lib_norm_log2.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/11_dataset_mean_expr/data/author_data/normalized_counts/ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex_expression_author_data_normalized_counts_5909_nuclei_8596_intersection_genes_lib_norm_log2_mean_expr.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/12_cell_class_annotations/data/author_data/ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex_barcode_annotations_cell_class_annotated.csv
ABI,2019,,Normal,Cortex,Temporal lobe,A1,TC,Y,N,SMART-Seq v4,6437,113,829100,6125,ABI TC,/home/shared/scsn.expr_data/human_expr/postnatal/ABI_2019_cortical_regions/,/home/shared/scsn.expr_data/human_expr/postnatal/ABI_2019_cortical_regions/A1/expression_A1.csv,/home/shared/scsn.expr_data/human_expr/postnatal/ABI_2019_cortical_regions/A1/barcodes_A1.tsv,/home/shared/scsn.expr_data/human_expr/postnatal/ABI_2019_cortical_regions/A1/genes_A1.tsv,/home/shared/scsn.expr_data/human_expr/postnatal/ABI_2019_cortical_regions/A1/author_barcode_annotations_A1.csv,ABI_2019_SMART-Seq_v4_A1,ABI 2019,,22.7,/home/rebecca/SCSN_meta_analysis/prelim_new/4_map_identifiers/data/ABI_2019_SMART-Seq_v4_A1_genes_mapped.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/5_QC/data/author_data/ABI_2019_SMART-Seq_v4_A1_expression_QC_counts_>.05%tile_genes_expressed_&_<=5%_mito_reads.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/5_QC/data/author_data/ABI_2019_SMART-Seq_v4_A1_barcodes_QC_counts_>.05%tile_genes_expressed_&_<=5%_mito_reads.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/7_max_expr/data/author_data/QC_counts/ABI_2019_SMART-Seq_v4_A1_expression_author_data_QC_counts_6437_nuclei_17936_protein_coding_genes.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/9_normalize/data/author_data/QC_counts/ABI_2019_SMART-Seq_v4_A1_expression_author_data_QC_counts_6437_nuclei_8596_intersection_genes_lib_norm_log2.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/11_dataset_mean_expr/data/author_data/normalized_counts/ABI_2019_SMART-Seq_v4_A1_expression_author_data_normalized_counts_6437_nuclei_8596_intersection_genes_lib_norm_log2_mean_expr.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/12_cell_class_annotations/data/author_data/ABI_2019_SMART-Seq_v4_A1_barcode_annotations_cell_class_annotated.csv
ABI,2019,,Normal,Cortex,Parietal lobe,S1,SC,Y,N,SMART-Seq v4,5669,107,859471,5825,ABI SC,/home/shared/scsn.expr_data/human_expr/postnatal/ABI_2019_cortical_regions/,/home/shared/scsn.expr_data/human_expr/postnatal/ABI_2019_cortical_regions/S1/expression_S1.csv,/home/shared/scsn.expr_data/human_expr/postnatal/ABI_2019_cortical_regions/S1/barcodes_S1.tsv,/home/shared/scsn.expr_data/human_expr/postnatal/ABI_2019_cortical_regions/S1/genes_S1.tsv,/home/shared/scsn.expr_data/human_expr/postnatal/ABI_2019_cortical_regions/S1/author_barcode_annotations_S1.csv,ABI_2019_SMART-Seq_v4_S1,ABI 2019,,22.7,/home/rebecca/SCSN_meta_analysis/prelim_new/4_map_identifiers/data/ABI_2019_SMART-Seq_v4_S1_genes_mapped.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/5_QC/data/author_data/ABI_2019_SMART-Seq_v4_S1_expression_QC_counts_>.05%tile_genes_expressed_&_<=5%_mito_reads.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/5_QC/data/author_data/ABI_2019_SMART-Seq_v4_S1_barcodes_QC_counts_>.05%tile_genes_expressed_&_<=5%_mito_reads.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/7_max_expr/data/author_data/QC_counts/ABI_2019_SMART-Seq_v4_S1_expression_author_data_QC_counts_5669_nuclei_17899_protein_coding_genes.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/9_normalize/data/author_data/QC_counts/ABI_2019_SMART-Seq_v4_S1_expression_author_data_QC_counts_5669_nuclei_8596_intersection_genes_lib_norm_log2.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/11_dataset_mean_expr/data/author_data/normalized_counts/ABI_2019_SMART-Seq_v4_S1_expression_author_data_normalized_counts_5669_nuclei_8596_intersection_genes_lib_norm_log2_mean_expr.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/12_cell_class_annotations/data/author_data/ABI_2019_SMART-Seq_v4_S1_barcode_annotations_cell_class_annotated.csv
ABI,2019,,Normal,Cortex,Occipital lobe,V1,OC,Y,N,SMART-Seq v4,7811,99,947459,6089,ABI OC,/home/shared/scsn.expr_data/human_expr/postnatal/ABI_2019_cortical_regions/,/home/shared/scsn.expr_data/human_expr/postnatal/ABI_2019_cortical_regions/V1/expression_V1.csv,/home/shared/scsn.expr_data/human_expr/postnatal/ABI_2019_cortical_regions/V1/barcodes_V1.tsv,/home/shared/scsn.expr_data/human_expr/postnatal/ABI_2019_cortical_regions/V1/genes_V1.tsv,/home/shared/scsn.expr_data/human_expr/postnatal/ABI_2019_cortical_regions/V1/author_barcode_annotations_V1.csv,ABI_2019_SMART-Seq_v4_V1,ABI 2019,,22.7,/home/rebecca/SCSN_meta_analysis/prelim_new/4_map_identifiers/data/ABI_2019_SMART-Seq_v4_V1_genes_mapped.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/5_QC/data/author_data/ABI_2019_SMART-Seq_v4_V1_expression_QC_counts_>.05%tile_genes_expressed_&_<=5%_mito_reads.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/5_QC/data/author_data/ABI_2019_SMART-Seq_v4_V1_barcodes_QC_counts_>.05%tile_genes_expressed_&_<=5%_mito_reads.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/7_max_expr/data/author_data/QC_counts/ABI_2019_SMART-Seq_v4_V1_expression_author_data_QC_counts_7811_nuclei_17957_protein_coding_genes.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/9_normalize/data/author_data/QC_counts/ABI_2019_SMART-Seq_v4_V1_expression_author_data_QC_counts_7811_nuclei_8596_intersection_genes_lib_norm_log2.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/11_dataset_mean_expr/data/author_data/normalized_counts/ABI_2019_SMART-Seq_v4_V1_expression_author_data_normalized_counts_7811_nuclei_8596_intersection_genes_lib_norm_log2_mean_expr.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/12_cell_class_annotations/data/author_data/ABI_2019_SMART-Seq_v4_V1_barcode_annotations_cell_class_annotated.csv
Bakken,2019,34616062,Normal,Cortex,Frontal cortex,M1,FC,Y,N,SMART-Seq v4,10215,129,860232,6041,Bakken FC M1 SSv4,/home/shared/scsn.expr_data/human_expr/postnatal/bakken_2019/,/home/shared/scsn.expr_data/human_expr/postnatal/bakken_2019/SSv4/NeMO/matrix_SSv4_annotated.mtx,/home/shared/scsn.expr_data/human_expr/postnatal/bakken_2019/SSv4/NeMO/barcodes_SSv4_annotated.tsv,/home/shared/scsn.expr_data/human_expr/postnatal/bakken_2019/SSv4/NeMO/genes_SSv4.tsv,/home/shared/scsn.expr_data/human_expr/postnatal/bakken_2019/SSv4/NeMO/author_barcode_annotations_SSv4.csv,Bakken_2019_SMART-Seq_v4_M1,Bakken 2019,,24,/home/rebecca/SCSN_meta_analysis/prelim_new/4_map_identifiers/data/Bakken_2019_SMART-Seq_v4_M1_genes_mapped.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/5_QC/data/author_data/Bakken_2019_SMART-Seq_v4_M1_expression_QC_counts_>.05%tile_genes_expressed_&_<=5%_mito_reads.mtx,/home/rebecca/SCSN_meta_analysis/prelim_new/5_QC/data/author_data/Bakken_2019_SMART-Seq_v4_M1_barcodes_QC_counts_>.05%tile_genes_expressed_&_<=5%_mito_reads.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/7_max_expr/data/author_data/QC_counts/Bakken_2019_SMART-Seq_v4_M1_expression_author_data_QC_counts_10215_nuclei_17994_protein_coding_genes.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/9_normalize/data/author_data/QC_counts/Bakken_2019_SMART-Seq_v4_M1_expression_author_data_QC_counts_10215_nuclei_8596_intersection_genes_lib_norm_log2.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/11_dataset_mean_expr/data/author_data/normalized_counts/Bakken_2019_SMART-Seq_v4_M1_expression_author_data_normalized_counts_10215_nuclei_8596_intersection_genes_lib_norm_log2_mean_expr.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/12_cell_class_annotations/data/author_data/Bakken_2019_SMART-Seq_v4_M1_barcode_annotations_cell_class_annotated.csv
Bakken,2019,34616062,Normal,Cortex,Frontal cortex,M1,FC,Y,N,10x Chromium V3,76239,128,17273,4843,Bakken FC M1 10x,/home/shared/scsn.expr_data/human_expr/postnatal/bakken_2019/,/home/shared/scsn.expr_data/human_expr/postnatal/bakken_2019/10x/NeMO/matrix_10x.mtx,/home/shared/scsn.expr_data/human_expr/postnatal/bakken_2019/10x/NeMO/barcodes_10x.tsv,/home/shared/scsn.expr_data/human_expr/postnatal/bakken_2019/10x/NeMO/genes_10x.tsv,/home/shared/scsn.expr_data/human_expr/postnatal/bakken_2019/10x/NeMO/author_barcode_annotations_10x.csv,Bakken_2019_10x_Chromium_V3_M1,Bakken 2019,,14,/home/rebecca/SCSN_meta_analysis/prelim_new/4_map_identifiers/data/Bakken_2019_10x_Chromium_V3_M1_genes_mapped.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/5_QC/data/author_data/Bakken_2019_10x_Chromium_V3_M1_expression_QC_counts_>.05%tile_genes_expressed_&_<=5%_mito_reads.mtx,/home/rebecca/SCSN_meta_analysis/prelim_new/5_QC/data/author_data/Bakken_2019_10x_Chromium_V3_M1_barcodes_QC_counts_>.05%tile_genes_expressed_&_<=5%_mito_reads.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/7_max_expr/data/author_data/QC_counts/Bakken_2019_10x_Chromium_V3_M1_expression_author_data_QC_counts_76239_nuclei_17179_protein_coding_genes.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/9_normalize/data/author_data/QC_counts/Bakken_2019_10x_Chromium_V3_M1_expression_author_data_QC_counts_76239_nuclei_8596_intersection_genes_lib_norm_log2.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/11_dataset_mean_expr/data/author_data/normalized_counts/Bakken_2019_10x_Chromium_V3_M1_expression_author_data_normalized_counts_76239_nuclei_8596_intersection_genes_lib_norm_log2_mean_expr.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/12_cell_class_annotations/data/author_data/Bakken_2019_10x_Chromium_V3_M1_barcode_annotations_cell_class_annotated.csv
Habib,2017,28846088,Normal,Cortex,Frontal cortex,Prefrontal cortex,FC,N,Y,DroNc-seq,5207,14,724,623,Habib PFC,/home/shared/scsn.expr_data/human_expr/postnatal/habib_2017/,/home/shared/scsn.expr_data/human_expr/postnatal/habib_2017/PFC/expression_PFC.csv,/home/shared/scsn.expr_data/human_expr/postnatal/habib_2017/PFC/barcodes_PFC.tsv,/home/shared/scsn.expr_data/human_expr/postnatal/habib_2017/PFC/genes_PFC.tsv,/home/shared/scsn.expr_data/human_expr/postnatal/habib_2017/PFC/author_barcode_annotations_PFC.csv,Habib_2017_DroNc-seq_Prefrontal_cortex,Habib 2017,35,10.4,/home/rebecca/SCSN_meta_analysis/prelim_new/4_map_identifiers/data/Habib_2017_DroNc-seq_Prefrontal_cortex_genes_mapped.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/5_QC/data/author_data/Habib_2017_DroNc-seq_Prefrontal_cortex_expression_QC_counts_>.05%tile_genes_expressed_&_<=5%_mito_reads.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/5_QC/data/author_data/Habib_2017_DroNc-seq_Prefrontal_cortex_barcodes_QC_counts_>.05%tile_genes_expressed_&_<=5%_mito_reads.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/7_max_expr/data/author_data/QC_counts/Habib_2017_DroNc-seq_Prefrontal_cortex_expression_author_data_QC_counts_5207_nuclei_16071_protein_coding_genes.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/9_normalize/data/author_data/QC_counts/Habib_2017_DroNc-seq_Prefrontal_cortex_expression_author_data_QC_counts_5207_nuclei_8596_intersection_genes_lib_norm_log2.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/11_dataset_mean_expr/data/author_data/normalized_counts/Habib_2017_DroNc-seq_Prefrontal_cortex_expression_author_data_normalized_counts_5207_nuclei_8596_intersection_genes_lib_norm_log2_mean_expr.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/12_cell_class_annotations/data/author_data/Habib_2017_DroNc-seq_Prefrontal_cortex_barcode_annotations_cell_class_annotated.csv
Hodge,2018,31435019,Normal,Cortex,Temporal lobe,Middle temporal gyrus,TC,Y,N,SMART-Seq v4,15524,75,1608215.5,7012,Hodge TC MTG,/home/shared/scsn.expr_data/human_expr/postnatal/hodge_2018/,/home/shared/scsn.expr_data/human_expr/postnatal/hodge_2018/ABI/expression.csv,/home/shared/scsn.expr_data/human_expr/postnatal/hodge_2018/ABI/barcodes.tsv,/home/shared/scsn.expr_data/human_expr/postnatal/hodge_2018/ABI/genes.tsv,/home/shared/scsn.expr_data/human_expr/postnatal/hodge_2018/ABI/author_barcode_annotations.csv,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus,Hodge 2018,30,22.5,/home/rebecca/SCSN_meta_analysis/prelim_new/4_map_identifiers/data/Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus_genes_mapped.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/5_QC/data/author_data/Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus_expression_QC_counts_>.05%tile_genes_expressed_&_<=5%_mito_reads.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/5_QC/data/author_data/Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus_barcodes_QC_counts_>.05%tile_genes_expressed_&_<=5%_mito_reads.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/7_max_expr/data/author_data/QC_counts/Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus_expression_author_data_QC_counts_15524_nuclei_18141_protein_coding_genes.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/9_normalize/data/author_data/QC_counts/Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus_expression_author_data_QC_counts_15524_nuclei_8596_intersection_genes_lib_norm_log2.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/11_dataset_mean_expr/data/author_data/normalized_counts/Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus_expression_author_data_normalized_counts_15524_nuclei_8596_intersection_genes_lib_norm_log2_mean_expr.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/12_cell_class_annotations/data/author_data/Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus_barcode_annotations_cell_class_annotated.csv
Khrameeva,2020,32424074,Normal,Cortex,Anterior cingulate cortex,BA24,FC,Y,Y,10x Chromium V2,6746,,434,395,Khrameeva FC BA24,/home/shared/scsn.expr_data/human_expr/postnatal/khrameeva_2020/,/home/shared/scsn.expr_data/human_expr/postnatal/khrameeva_2020/ACC/matrix_ACC.mtx,/home/shared/scsn.expr_data/human_expr/postnatal/khrameeva_2020/ACC/barcodes_ACC.tsv,/home/shared/scsn.expr_data/human_expr/postnatal/khrameeva_2020/ACC/genes_ACC.tsv,,Khrameeva_2020_10x_Chromium_V2_BA24,Khrameeva 2020,30,,/home/rebecca/SCSN_meta_analysis/prelim_new/4_map_identifiers/data/Khrameeva_2020_10x_Chromium_V2_BA24_genes_mapped.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/5_QC/data/author_data/Khrameeva_2020_10x_Chromium_V2_BA24_expression_QC_counts_>.05%tile_genes_expressed_&_<=5%_mito_reads.mtx,/home/rebecca/SCSN_meta_analysis/prelim_new/5_QC/data/author_data/Khrameeva_2020_10x_Chromium_V2_BA24_barcodes_QC_counts_>.05%tile_genes_expressed_&_<=5%_mito_reads.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/7_max_expr/data/author_data/QC_counts/Khrameeva_2020_10x_Chromium_V2_BA24_expression_author_data_QC_counts_6746_nuclei_15389_protein_coding_genes.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/9_normalize/data/author_data/QC_counts/Khrameeva_2020_10x_Chromium_V2_BA24_expression_author_data_QC_counts_6746_nuclei_8596_intersection_genes_lib_norm_log2.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/11_dataset_mean_expr/data/author_data/normalized_counts/Khrameeva_2020_10x_Chromium_V2_BA24_expression_author_data_normalized_counts_6746_nuclei_8596_intersection_genes_lib_norm_log2_mean_expr.csv,
Lake,2018,29227469,Normal,Cortex,Frontal cortex,BA6,FC,Y,Y,snDrop-seq,4146,24,767.5,610.5,Lake FC BA6,/home/shared/scsn.expr_data/human_expr/postnatal/lake_2018/,/home/shared/scsn.expr_data/human_expr/postnatal/lake_2018/FCX/BA6/expression_BA6.csv,/home/shared/scsn.expr_data/human_expr/postnatal/lake_2018/FCX/BA6/barcodes_BA6.tsv,/home/shared/scsn.expr_data/human_expr/postnatal/lake_2018/FCX/BA6/genes_BA6.tsv,/home/shared/scsn.expr_data/human_expr/postnatal/lake_2018/FCX/BA6/author_barcode_annotations_BA6.csv,Lake_2018_snDrop-seq_BA6,Lake 2018,50,14,/home/rebecca/SCSN_meta_analysis/prelim_new/4_map_identifiers/data/Lake_2018_snDrop-seq_BA6_genes_mapped.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/5_QC/data/author_data/Lake_2018_snDrop-seq_BA6_expression_QC_counts_>.05%tile_genes_expressed_&_<=5%_mito_reads.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/5_QC/data/author_data/Lake_2018_snDrop-seq_BA6_barcodes_QC_counts_>.05%tile_genes_expressed_&_<=5%_mito_reads.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/7_max_expr/data/author_data/QC_counts/Lake_2018_snDrop-seq_BA6_expression_author_data_QC_counts_4146_nuclei_15508_protein_coding_genes.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/9_normalize/data/author_data/QC_counts/Lake_2018_snDrop-seq_BA6_expression_author_data_QC_counts_4146_nuclei_8596_intersection_genes_lib_norm_log2.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/11_dataset_mean_expr/data/author_data/normalized_counts/Lake_2018_snDrop-seq_BA6_expression_author_data_normalized_counts_4146_nuclei_8596_intersection_genes_lib_norm_log2_mean_expr.csv,/home/rebecca/SCSN_meta_analysis/prelim_new/12_cell_class_annotations/data/author_data/Lake_2018_snDrop-seq_BA6_barcode_annotations_cell_class_annotated.csv
